"Common_Name","Domain","Phylum","Class","Order","Family","Genus","Species"
"Common redpoll","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis flammea"
"Hoary redpoll","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis hornemanni"
"Cooper's hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii"
"Northern goshawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis"
"Sharp-shinned hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus"
"Green sturgeon","Eukaryota","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser","Acipenser medirostris"
"White sturgeon","Eukaryota","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus"
"Chiselmouth","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Acrocheilus","Acrocheilus alutaceus"
"Western pond turtle","Eukaryota","Chordata","Reptilia","Testudines","Emydidae","Actinemys","Actinemys marmorata"
"Spotted sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius"
"Clark's grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus clarkii"
"Western grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis"
"Northern saw-whet owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius acadicus"
"Boreal owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus"
"Hoary bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Aeorestes","Aeorestes cinereus"
"White-throated swift","Eukaryota","Chordata","Aves","Apodiformes","Apodidae","Aeronautes","Aeronautes saxatalis"
"Parakeet auklet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Aethia","Aethia psittacula"
"Red-winged blackbird","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus"
"Tricolored blackbird","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Agelaius tricolor"
"Wood duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa"
"Eurasian skylark","Eukaryota","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis"
"Moose","Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces"
"Chukar","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Alectoris chukar"
"Whitebait smelt","Eukaryota","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus"
"Common thresher shark","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"American shad","Eukaryota","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
"Northwestern salamander","Eukaryota","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma gracile"
"Long-toed salamander","Eukaryota","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma macrodactylum"
"Western tiger salamander","Eukaryota","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mavortium"
"Black bullhead","Eukaryota","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas"
"Yellow bullhead","Eukaryota","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus","Ameiurus natalis"
"Brown bullhead","Eukaryota","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"Grasshopper sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Ammodramus","Ammodramus savannarum"
"White-tailed antelope squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Ammospermophilus","Ammospermophilus leucurus"
"LeConte's sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Ammospiza","Ammospiza leconteii"
"Black-throated sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Amphispiza","Amphispiza bilineata"
"Calico surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","Amphistichus koelzi"
"Redtail surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","Amphistichus rhodoterus"
"Wolf eel","Eukaryota","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus"
"Northern pintail","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta"
"Green-winged teal","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca"
"Cinnamon teal","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas cyanoptera"
"Mallard","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos"
"American black duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas rubripes"
"Western toad","Eukaryota","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus boreas"
"Woodhouse's toad","Eukaryota","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus woodhousii"
"Clouded salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","Aneides ferreus"
"Klamath black salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","Aneides klamathensis"
"Sablefish","Eukaryota","Chordata","Actinopterygii","Perciformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria"
"Greater white-fronted goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons"
"Snow goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser caerulescens"
"Emperor goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser canagicus"
"Ross's goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser rossii"
"Tundra bean-goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser serrirostris"
"Red-throated pipit","Eukaryota","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus cervinus"
"American pipit","Eukaryota","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus rubescens"
"Sprague's pipit","Eukaryota","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus spragueii"
"Sandhill crane","Eukaryota","Chordata","Aves","Gruiformes","Gruidae","Antigone","Antigone canadensis"
"Pronghorn","Eukaryota","Chordata","Mammalia","Artiodactyla","Antilocapridae","Antilocapra","Antilocapra americana"
"Eastern whip-poor-will","Eukaryota","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","Antrostomus vociferus"
"Pallid bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Antrozous","Antrozous pallidus"
"Western scrub-jay","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Aphelocoma californica"
"Woodhouse's scrub-jay","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Aphelocoma woodhouseii"
"Surfbird","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Aphriza","Aphriza virgata"
"Mountain beaver","Eukaryota","Chordata","Mammalia","Rodentia","Aplodontiidae","Aplodontia","Aplodontia rufa"
"Golden eagle","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos"
"White-footed vole","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Arborimus","Arborimus albipes"
"Red tree vole","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Arborimus","Arborimus longicaudus"
"Black-chinned hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Archilochus","Archilochus alexandri"
"Ruby-throated hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Archilochus","Archilochus colubris"
"Sacramento perch","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Archoplites","Archoplites interruptus"
"Great egret","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea alba"
"Great blue heron","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias"
"Buller's shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna bulleri"
"Flesh-footed shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna carneipes"
"Pink-footed shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna creatopus"
"Great shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna gravis"
"Sooty shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna grisea"
"Wedge-tailed shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna pacifica"
"Short-tailed shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna tenuirostris"
"Ruddy turnstone","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres"
"Black turnstone","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria melanocephala"
"Sagebrush sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Artemisiospiza","Artemisiospiza nevadensis"
"Rocky Mountain tailed frog","Eukaryota","Chordata","Amphibia","Anura","Ascaphidae","Ascaphus","Ascaphus montanus"
"Coastal tailed frog","Eukaryota","Chordata","Amphibia","Anura","Ascaphidae","Ascaphus","Ascaphus truei"
"Short-eared owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio flammeus"
"Long-eared owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio otus"
"Western whiptail","Eukaryota","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis tigris"
"Plateau striped whiptail","Eukaryota","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis velox"
"Burrowing owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene cunicularia"
"Arrowtooth flounder","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias"
"Topsmelt","Eukaryota","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops","Atherinops affinis"
"Jack silverside","Eukaryota","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsis","Atherinopsis californiensis"
"Lesser scaup","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya affinis"
"Redhead","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya americana"
"Ring-necked duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya collaris"
"Tufted duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya fuligula"
"Greater scaup","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya marila"
"Canvasback","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya valisineria"
"Oak titmouse","Eukaryota","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus inornatus"
"Juniper titmouse","Eukaryota","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus ridgwayi"
"Minke whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"Sei whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera borealis"
"Blue whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"Fin whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus"
"Finescale triggerfish","Eukaryota","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","Balistes polylepis"
"Upland sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Bartramia","Bartramia longicauda"
"Ringtail","Eukaryota","Chordata","Mammalia","Carnivora","Procyonidae","Bassariscus","Bassariscus astutus"
"California slender salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Batrachoseps","Batrachoseps attenuatus"
"Oregon slender salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Batrachoseps","Batrachoseps wrighti"
"Baird's beaked whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Ziphiidae","Berardius","Berardius bairdii"
"Cedar waxwing","Eukaryota","Chordata","Aves","Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum"
"Bohemian waxwing","Eukaryota","Chordata","Aves","Passeriformes","Bombycillidae","Bombycilla","Bombycilla garrulus"
"Ruffed grouse","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Bonasa","Bonasa umbellus"
"American bittern","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus lentiginosus"
"Pygmy rabbit","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Brachylagus","Brachylagus idahoensis"
"Marbled murrelet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Brachyramphus","Brachyramphus marmoratus"
"Long-billed murrelet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Brachyramphus","Brachyramphus perdix"
"Pacific pomfret","Eukaryota","Chordata","Actinopterygii","Scombriformes","Bramidae","Brama","Brama japonica"
"Brent Goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta bernicla"
"Canada goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis"
"Cackling goose","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta hutchinsii"
"Snowy owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo scandiacus"
"Great horned owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo virginianus"
"Cattle egret","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis"
"Bufflehead","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala albeola"
"Common goldeneye","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala clangula"
"Barrow's goldeneye","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala islandica"
"Zone-tailed hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo albonotatus"
"Red-tailed hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis"
"Rough-legged hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lagopus"
"Red-shouldered hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lineatus"
"Broad-winged hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo platypterus"
"Ferruginous hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo regalis"
"Swainson's hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo swainsoni"
"Green heron","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","Butorides virescens"
"Lark bunting","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Calamospiza","Calamospiza melanocorys"
"Lapland longspur","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Calcarius","Calcarius lapponicus"
"Thick-billed longspur","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Calcarius","Calcarius mccownii"
"Chestnut-collared longspur","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Calcarius","Calcarius ornatus"
"Smith's longspur","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Calcarius","Calcarius pictus"
"Sharp-tailed sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris acuminata"
"Sanderling","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba"
"Dunlin","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina"
"Baird's sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris bairdii"
"Red knot","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris canutus"
"Curlew sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ferruginea"
"White-rumped sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris fuscicollis"
"Stilt sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris himantopus"
"Western sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris mauri"
"Pectoral sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris melanotos"
"Little stint","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta"
"Least sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minutilla"
"Rock sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ptilocnemis"
"Ruff","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris pugnax"
"Semipalmated sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris pusilla"
"Red-necked stint","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis"
"Long-toed stint","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris subminuta"
"Buff-breasted sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris subruficollis"
"Great knot","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris tenuirostris"
"Surfbird","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris virgata"
"California quail","Eukaryota","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla californica"
"Northern fur seal","Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Callorhinus","Callorhinus ursinus"
"Golden-mantled ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Callospermophilus","Callospermophilus lateralis"
"Streaked shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Calonectris","Calonectris leucomelas"
"Anna's hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Calypte","Calypte anna"
"Costa's hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Calypte","Calypte costae"
"Coyote","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis latrans"
"Gray wolf","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"Crested caracara","Eukaryota","Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus"
"Goldfish","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Carassius","Carassius auratus"
"Great white shark","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Carcharodon","Carcharodon carcharias"
"Canada warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Cardellina","Cardellina canadensis"
"Wilson's warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Cardellina","Cardellina pusilla"
"Pyrrhuloxia","Eukaryota","Chordata","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis sinuatus"
"Loggerhead turtle","Eukaryota","Chordata","Reptilia","Testudines","Cheloniidae","Caretta","Caretta caretta"
"American beaver","Eukaryota","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis"
"Turkey vulture","Eukaryota","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura"
"Veery","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus fuscescens"
"Hermit thrush","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus guttatus"
"Gray-cheeked thrush","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus minimus"
"Swainson's thrush","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus ustulatus"
"Canyon wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Catherpes","Catherpes mexicanus"
"Bridgelip sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus columbianus"
"Largescale sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus macrocheilus"
"Sacramento sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus occidentalis"
"Mountain sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus platyrhynchus"
"Klamath smallscale sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus rimiculus"
"Klamath largescale sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus snyderi"
"Tahoe sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus tahoensis"
"Warner sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus warnerensis"
"Monkeyface prickleback","Eukaryota","Chordata","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","Cebidichthys violaceus"
"Greater sage-grouse","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Centrocercus","Centrocercus urophasianus"
"Pigeon guillemot","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Cepphus","Cepphus columba"
"Rhinoceros auklet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Cerorhinca","Cerorhinca monocerata"
"Brown creeper","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia americana"
"Elk","Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus canadensis"
"Chimney swift","Eukaryota","Chordata","Aves","Apodiformes","Apodidae","Chaetura","Chaetura pelagica"
"Vaux's swift","Eukaryota","Chordata","Aves","Apodiformes","Apodidae","Chaetura","Chaetura vauxi"
"Wrentit","Eukaryota","Chordata","Aves","Passeriformes","Sylviidae","Chamaea","Chamaea fasciata"
"Piping plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius melodus"
"Lesser sand-plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius mongolus"
"Mountain plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius montanus"
"Eurasian dotterel","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius morinellus"
"Western snowy plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius nivosus"
"Semipalmated plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius semipalmatus"
"Killdeer","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius vociferus"
"Wilson's plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius wilsonia"
"Rubber boa","Eukaryota","Chordata","Reptilia","Squamata","Boidae","Charina","Charina bottae"
"Shortnose sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus","Chasmistes brevirostris"
"Green turtle","Eukaryota","Chordata","Reptilia","Testudines","Cheloniidae","Chelonia","Chelonia mydas"
"Common snapping turtle ","Eukaryota","Chordata","Reptilia","Testudines","Chelydridae","Chelydra","Chelydra serpentina"
"Black tern","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias niger"
"Oriental greenfinch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris sinica"
"Lark sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Chondestes","Chondestes grammacus"
"Lesser nighthawk","Eukaryota","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Chordeiles","Chordeiles acutipennis"
"Common nighthawk","Eukaryota","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Chordeiles","Chordeiles minor"
"Black-headed gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus ridibundus"
"Painted turtle","Eukaryota","Chordata","Reptilia","Testudines","Emydidae","Chrysemys","Chrysemys picta"
"American dipper","Eukaryota","Chordata","Aves","Passeriformes","Cinclidae","Cinclus","Cinclus mexicanus"
"Northern harrier","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus"
"Northern harrier","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus hudsonius"
"Marsh wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Cistothorus","Cistothorus palustris"
"Sedge wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Cistothorus","Cistothorus platensis"
"Pacific sanddab","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"Long-tailed duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Clangula","Clangula hyemalis"
"Pacific herring","Eukaryota","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii"
"Evening grosbeak","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Coccothraustes","Coccothraustes vespertinus"
"Yellow-billed cuckoo","Eukaryota","Chordata","Aves","Cuculiformes","Coccyzidae","Coccyzus","Coccyzus americanus"
"Northern flicker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes auratus"
"Northern bobwhite","Eukaryota","Chordata","Aves","Galliformes","Odontophoridae","Colinus","Colinus virginianus"
"Pacific saury","Eukaryota","Chordata","Actinopterygii","Beloniformes","Belonidae","Cololabis","Cololabis saira"
"Eastern racer","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Coluber","Coluber constrictor"
"Rock pigeon","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba livia"
"Common ground dove","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Columbina","Columbina passerina"
"Sharptail snake","Eukaryota","Chordata","Reptilia","Squamata","Dipsadidae","Contia","Contia tenuis"
"Olive-sided flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Contopus","Contopus cooperi"
"Western wood-pewee","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Contopus","Contopus sordidulus"
"Eastern wood-pewee","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Contopus","Contopus virens"
"Black vulture","Eukaryota","Chordata","Aves","Accipitriformes","Cathartidae","Coragyps","Coragyps atratus"
"American crow","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos"
"Common raven","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax"
"Townsend's big-eared bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Corynorhinus","Corynorhinus townsendii"
